iter	Passed	Remaining
838	69742	13383
839	69817	13298
840	69900	13215
841	69973	13130
842	70003	13037
843	70088	12954
844	70162	12870
845	70252	12788
846	70338	12705
847	70445	12627
848	70530	12544
849	70623	12462
850	70700	12378
851	70781	12295
852	70894	12217
853	71024	12142
854	71127	12062
855	71214	11979
856	71306	11898
857	71388	11814
858	71499	11736
859	71594	11654
860	71681	11572
861	71772	11490
862	71867	11408
863	71959	11327
864	72052	11245
865	72141	11162
866	72223	11079
867	72311	10996
868	72402	10914
869	72486	10831
870	72568	10747
871	72661	10665
872	72744	10582
873	72817	10497
874	72902	10414
875	73006	10334
876	73123	10255
877	73211	10172
878	73301	10090
879	73387	10007
880	73431	9918
881	73506	9834
882	73616	9754
883	73693	9670
884	73736	9581
885	73817	9497
886	73897	9414
887	73938	9325
888	74035	9243
889	74145	9164
890	74232	9081
891	74322	8998
892	74358	8909
893	74396	8821
894	74469	8736
895	74543	8652
896	74662	8573
897	74742	8489
898	74829	8406
899	74915	8323
900	74990	8239
901	75127	8162
902	75250	8083
903	75300	7996
904	75381	7913
905	75462	7829
906	75557	7747
907	75680	7668
908	75785	7586
909	75874	7504
910	75962	7421
911	76043	7337
912	76125	7254
913	76248	7174
914	76343	7092
915	76428	7008
916	76505	6924
917	76566	6839
918	76658	6756
919	76780	6676
920	76888	6595
921	76967	6511
922	77049	6427
923	77128	6343
924	77210	6260
925	77326	6179
926	77422	6096
927	77515	6014
928	77607	5931
929	77704	5848
930	77834	5768
931	77919	5685
932	78026	5603
933	78125	5520
934	78209	5437
935	78273	5352
936	78394	5270
937	78463	5186
938	78542	5102
939	78653	5020
940	78747	4937
941	78854	4855
942	78963	4772
943	79054	4689
944	79099	4603
945	79172	4519
946	79265	4436
947	79339	4351
948	79467	4270
949	79554	4187
950	79639	4103
951	79830	4025
952	80027	3946
953	80081	3861
954	80182	3778
955	80261	3694
956	80356	3610
957	80447	3526
958	80697	3450
959	80836	3368
960	80918	3283
961	81011	3200
962	81086	3115
963	81139	3030
964	81245	2946
965	81296	2861
966	81385	2777
967	81470	2693
968	81597	2610
969	81687	2526
970	81768	2442
971	81816	2356
972	81901	2272
973	81992	2188
974	82070	2104
975	82153	2020
976	82250	1936
977	82340	1852
978	82428	1768
979	82524	1684
980	82643	1600
981	82758	1516
982	82869	1433
983	82958	1348
984	83073	1265
985	83161	1180
986	83234	1096
987	83351	1012
988	83444	928
989	83547	843
990	83696	760
991	83783	675
992	83877	591
993	83961	506
994	84042	422
995	84116	337
996	84254	253
997	84354	169
998	84462	84
999	84551	0
